GIF1,GIF2,Selected
scene-0508_23.gif,scene-0415_24.gif,0
scene-0661_16.gif,scene-0786_16.gif,0
scene-0510_27.gif,scene-0364_27.gif,1
scene-0502_16.gif,scene-0711_10.gif,1
scene-0821_14.gif,scene-0590_24.gif,0
scene-0430_30.gif,scene-0850_12.gif,1
scene-0803_16.gif,scene-0812_13.gif,1
scene-0991_18.gif,scene-0456_27.gif,0
scene-1079_24.gif,scene-0696_21.gif,0
scene-0512_22.gif,scene-0375_26.gif,0
scene-0583_20.gif,scene-0662_23.gif,1
scene-0998_28.gif,scene-1020_29.gif,0
scene-0882_17.gif,scene-0892_15.gif,1
scene-1106_25.gif,scene-0468_17.gif,0
scene-0459_17.gif,scene-0883_32.gif,0
scene-0442_17.gif,scene-0813_20.gif,0
scene-0811_12.gif,scene-0372_18.gif,1
scene-0949_18.gif,scene-0707_25.gif,0
scene-1055_11.gif,scene-1053_11.gif,1
scene-0578_24.gif,scene-0454_28.gif,0
scene-0735_21.gif,scene-0961_29.gif,1
scene-0537_22.gif,scene-0644_16.gif,0
scene-0813_26.gif,scene-0726_26.gif,0
scene-0687_19.gif,scene-1016_14.gif,1
scene-0595_15.gif,scene-0364_19.gif,1
scene-0661_23.gif,scene-0741_15.gif,0
scene-0436_21.gif,scene-0392_23.gif,0
scene-1085_24.gif,scene-0759_20.gif,0
scene-0427_19.gif,scene-0642_22.gif,0
scene-0876_31.gif,scene-0459_25.gif,0
scene-0376_32.gif,scene-0413_22.gif,1
scene-0981_31.gif,scene-0366_25.gif,1
scene-0362_25.gif,scene-0876_19.gif,1
scene-0396_10.gif,scene-0873_21.gif,0
scene-0568_28.gif,scene-1080_31.gif,1
scene-0459_28.gif,scene-0572_20.gif,0
scene-0362_23.gif,scene-1056_31.gif,0
scene-0790_27.gif,scene-1015_25.gif,0
scene-0529_31.gif,scene-0892_11.gif,0
scene-0945_21.gif,scene-0505_31.gif,0
scene-0883_18.gif,scene-1107_22.gif,0
scene-0654_12.gif,scene-0499_16.gif,0
scene-0949_17.gif,scene-1083_19.gif,0
scene-0741_16.gif,scene-0885_14.gif,1
scene-0405_16.gif,scene-0357_13.gif,1
scene-0476_25.gif,scene-0903_20.gif,0
scene-0428_21.gif,scene-0761_30.gif,0
scene-0515_32.gif,scene-0888_14.gif,0
scene-1082_14.gif,scene-0536_18.gif,1
scene-0358_16.gif,scene-0791_11.gif,1
scene-0852_15.gif,scene-1044_25.gif,1
scene-0679_10.gif,scene-0316_30.gif,0
scene-0463_30.gif,scene-0514_13.gif,0
scene-0816_17.gif,scene-0983_27.gif,0
scene-0414_15.gif,scene-0672_18.gif,0
scene-0507_10.gif,scene-0873_30.gif,0
scene-0700_23.gif,scene-0713_11.gif,1
scene-0873_19.gif,scene-0546_28.gif,1
